,region,cpname,title,career,education,jobtype,cptype,sales,aversalary,employees,capital,pros
26,경기,(주)영원무역,3월 경력/신입 상시채용공고,신입/경력(연차무관),고졸,계약직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
27,강원,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
28,강원,(주)GS동해전력,GS동해전력 채용연계형 인턴사원 채용,신입/경력(연차무관),초대졸이상,인턴,대기업,"1조 499억 5,123만원 (2022)",130 명 재직중,"7,447만원
자세히보기","6,000억원",1000대-GS그룹-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
29,강원,한국국제협력단,2024년 일반직 및 사회형평적 신입직원 채용 공고,신입/경력(연차무관),학력무관,정규직,대기업,"1조 499억 5,123만원 (2022)",130 명 재직중,"7,447만원
자세히보기","6,000억원",1000대-안정적인 장수 회사-구직자 인기기업-복지의 끝판왕-매출 1000대 기업-인크루트 인증 우수기업-빵빵한 구내식당
30,충북,SK하이닉스(주),2024 상반기 SK하이닉스 신입사원 채용,신입,대졸이상,정규직,대기업,"27조 6,399억 9,700만원 (2023)","32,075 명 재직중","7,647만원
자세히보기","3조 6,576억 5,200만원",1000대-SK그룹-안정적인 장수 회사-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-----
31,충북,에스케이케미칼,청주공장 품질관리책임자 신입/경력 채용,신입/경력(연차무관),대졸이상,정규직,대기업,"1조 2,560억 3,017만원 (2022)","1,448 명 재직중","6,960만원
자세히보기","987억 9,350만원",1000대-SK그룹-성장판 열린 회사-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-아침을 왜 굶어요?-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-아낌없이 주는 커피-아이와 함께 출근해요-잘나가는 의료·바이오기업-집 걱정 안 하기-장기근속수당제공 기업-육아휴직 제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
32,충북,건국대학교,2024학년도 상반기 건국대학교 정규직(기능직) 채용,신입/경력(연차무관),고졸이상,정규직,소기업,"1조 250억 3,072만원 (2023)","7,246 명 재직중","2,212만원
자세히보기","1조 864억 1,425만원",1000대-안정적인 장수 회사-구직자 인기기업
33,충남,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
34,충남,한국사회적기업진흥원,2024년 한국사회적기업진흥원 일반직(사무행정) 및 기능직(비서 총무) 직원 채용,신입/경력(연차무관),학력무관,정규직,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",우수기업-성장판 열린 회사-채용에 적극적인 회사-인크루트 인증 우수기업
35,충남,코레일관광개발(주),2024년 2차 공개경쟁 채용 모집공고,신입/경력(연차무관),학력무관,정규직외,소기업,"723억 1,737만원 (2022)",130 명 재직중,"5,341만원
자세히보기","57억 8,339만원",한국철도공사그룹-구직자 인기기업-채용에 적극적인 회사-인크루트 인증 우수기업-공기업 in 서울
36,전북,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
