,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros_encoded
293,0,1,0,0,-0.0732,0.0244,0.0,-0.0775,-0.1
294,0,2,0,2,12.2783,9.2355,,25.9888,0.3
295,0,0,0,0,,-0.2064,,,-0.35
296,0,2,1,1,0.1747,-0.1032,1.1304,1.1483,-0.35
297,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
298,0,1,1,1,0.2491,0.3549,1.4348,0.1267,1.45
299,0,0,0,0,-0.1278,-0.2036,0.5217,-0.1062,-0.5
300,0,0,0,0,,-0.2022,,-0.1107,-0.25
301,0,0,0,0,,,-0.7826,,-0.5
302,0,3,0,0,,,,,-0.5
303,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
304,0,0,0,0,,,,,-0.5
305,0,0,0,0,0.5684,0.2866,1.087,46.1888,-0.35
306,0,0,1,0,,,-0.5217,-0.1107,-0.5
307,0,2,0,1,-0.0277,-0.129,0.2609,-0.1062,0.3
308,0,0,0,2,17.6008,9.094,-1.3043,76.3061,1.15
309,0,4,0,0,-0.03,,1.0,-0.103,0.0
310,0,0,0,2,9.8427,1.7284,1.6522,1.25,0.8
311,0,0,1,0,,-0.2085,-0.5652,,-0.5
312,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
313,0,3,1,1,1.9967,1.2292,1.0435,-0.0362,0.4
314,0,1,0,2,1.5751,0.9566,,0.5696,0.85
315,0,1,1,0,,-0.2071,,,-0.5
316,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
317,0,1,0,2,6.703,4.7432,1.4348,2.4648,1.7
318,0,0,0,2,17.6008,9.094,-1.3043,76.3061,1.15
319,0,0,1,1,0.5731,1.064,-0.2609,-0.0862,0.15
320,0,1,1,1,-0.1226,-0.1715,1.0,0.565,0.3
321,0,0,0,2,21.5506,4.4623,,2.147,0.65
322,0,0,1,0,,,,,-0.35
323,0,0,1,0,,-0.2057,,,-0.5
324,0,2,0,1,0.3021,1.552,0.6957,-0.0993,0.25
325,0,3,1,2,0.4613,2.5386,,1.077,0.55
326,0,0,1,1,0.1023,0.1004,0.087,-0.1017,0.35
327,0,2,1,1,-0.1214,-0.1513,0.3043,-0.0631,-0.05
328,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
329,0,0,1,0,-0.126,,,-0.1107,-0.5
330,0,0,1,0,,-0.2029,-0.5217,,-0.35
331,0,2,0,0,-0.1298,-0.2022,,-0.1099,-0.4
332,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
333,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
334,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
335,0,0,1,0,-0.13,-0.1952,-0.1304,-0.1129,-0.5
336,0,2,0,0,,,,,-0.5
337,0,0,0,0,,-0.2071,,,-0.5
338,0,2,1,0,-0.1039,-0.1276,0.3043,-0.0103,0.4
339,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
340,0,3,1,0,-0.1273,-0.1952,,-0.1062,-0.4
341,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
342,0,0,0,2,18.978,3.3516,0.1304,0.4853,1.2
343,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
344,0,0,0,1,-0.0513,-0.0488,0.5217,-0.113,0.2
345,0,1,0,1,0.2366,0.73,-0.3913,-0.0529,0.7
346,0,0,1,0,-0.1266,-0.1952,-0.3478,-0.0994,0.15
347,0,0,0,2,0.0485,0.7425,1.087,0.1344,0.45
348,0,1,0,2,1.5751,0.9566,1.2609,0.5696,0.85
349,0,1,1,0,-0.1271,-0.1604,0.0435,-0.1017,-0.1
350,0,0,1,0,,-0.2085,,,-0.5
351,0,0,0,0,-0.0922,0.0823,0.7391,1.0019,0.7
352,0,2,1,0,-0.0649,-0.0809,0.4348,0.0861,0.5
353,0,0,0,2,18.978,3.3516,0.1304,0.4853,1.2
354,0,0,1,0,,-0.2085,,,-0.5
355,0,0,0,0,,,,,-0.5
356,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
357,0,2,0,1,0.3021,1.552,0.6957,-0.0993,0.0
358,0,0,0,0,-0.1293,-0.2071,,-0.1121,0.2
359,0,0,1,2,-0.0203,0.175,-0.087,0.0,-0.3
360,0,0,1,1,0.1409,0.3974,0.7826,-0.113,0.1
361,0,1,1,0,,-0.205,0.0,,-0.5
362,0,1,0,2,1.5751,0.9566,1.2609,0.5696,0.85
363,0,0,1,0,,,-0.6087,,-0.5
364,0,0,0,0,-0.1271,-0.1903,-0.3043,-0.0927,-0.35
365,0,0,1,0,,-0.205,-0.5217,,-0.5
366,0,1,0,2,1.5751,0.9566,1.2609,0.5696,0.85
367,0,3,1,0,-0.1273,-0.1959,-0.4783,-0.1017,-0.5
368,0,0,1,0,,-0.205,,,-0.5
369,0,2,0,0,-0.1277,,,-0.1119,-0.2
370,0,1,1,0,-0.1297,-0.2001,-0.4348,-0.0986,-0.5
371,0,0,1,0,-0.1289,-0.198,-0.3478,-0.1062,-0.2
372,0,0,1,0,,-0.1715,,,-0.5
373,0,2,1,0,-0.124,-0.1666,,-0.0159,-0.5
374,0,0,1,0,,-0.1046,-0.4348,,-0.25
375,0,0,1,1,0.6564,1.6225,,0.7009,-0.05
376,0,3,1,1,0.0666,0.2998,0.8696,0.1102,0.65
377,0,1,1,0,-0.1266,-0.1917,-0.5652,,-0.5
378,0,0,1,1,0.1296,0.2106,0.087,0.0294,-0.35
379,0,0,0,0,,,0.087,,0.05
380,0,0,1,0,,,0.087,,-0.5
381,0,3,1,1,0.2151,0.1736,0.6522,1.7512,1.0
382,0,0,0,0,,-0.1743,,,-0.5
383,0,0,1,0,,,,,-0.5
384,0,1,0,2,22.7143,,-0.2609,605.9868,0.65
385,0,0,0,0,,-0.2071,,,-0.5
386,0,0,0,0,,,-0.5652,,-0.35
387,0,0,1,2,0.6135,0.5815,1.3478,-0.1089,1.3
388,0,0,1,0,,-0.2064,-0.3913,,-0.5
389,0,1,0,2,3.6306,1.7152,1.7826,0.7623,2.8
390,0,0,1,0,-0.1035,-0.168,,0.2503,-0.35
391,0,3,1,1,0.0478,0.3047,1.3478,-0.0256,0.75
392,0,0,0,1,4.5712,,1.3913,6.4333,1.35
393,0,1,0,0,,-0.1994,,,-0.5
394,0,3,1,0,-0.1221,-0.2008,0.5652,0.0029,0.15
395,0,0,1,0,-0.1285,-0.2022,0.087,-0.1085,-0.2
396,0,3,0,0,,,,,-0.5
397,0,3,1,1,-0.117,-0.1785,,6.0131,1.05
398,0,1,0,2,1.5751,0.9566,,0.5696,0.85
399,0,2,1,0,-0.1199,-0.1687,0.087,-0.0746,0.25
400,0,1,0,2,1.5751,0.9566,,0.5696,0.85
401,0,0,0,0,-0.13,,,-0.1119,-0.5
402,0,0,0,2,2.0819,1.4028,0.087,0.6464,0.55
403,0,0,1,0,-0.1277,-0.1813,,,-0.35
404,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
405,0,0,0,2,7.9148,4.1834,1.0,4.6111,1.2
406,0,0,0,0,-0.1292,-0.1952,-0.6087,-0.1107,-0.5
407,0,2,1,2,0.3691,0.0314,1.2609,1.6779,0.05
408,0,0,0,0,-0.13,0.0397,-0.0435,-0.1127,0.7
409,0,3,1,0,-0.0418,-0.1708,-0.0435,0.0113,0.05
410,0,0,1,0,,-0.2064,,,-0.3
411,0,3,1,1,-0.117,-0.1785,,6.0131,1.05
412,0,0,0,0,-0.1131,-0.0265,-0.1304,-0.1107,0.2
413,0,0,1,0,-0.0607,-0.1757,-0.1739,1.017,0.25
414,0,3,1,2,0.1979,0.4441,0.8696,0.3346,0.85
415,0,0,0,1,4.5712,,1.3913,6.4333,1.35
416,0,0,0,1,0.6426,0.4386,0.2174,0.0113,0.45
417,0,0,1,1,-0.0743,0.7551,-0.5217,-0.1062,-0.2
418,0,0,0,0,-0.1131,-0.0265,-0.1304,-0.1107,0.2
419,0,1,0,2,21.5506,20.7077,,2.147,0.65
420,0,4,1,0,,,-0.087,,-0.5
421,0,0,0,0,,-0.1841,-0.6087,,-0.5
422,0,3,1,1,1.0082,0.182,1.2609,0.0678,0.3
423,0,0,0,0,,-0.2085,,,-0.5
424,0,0,1,0,-0.1299,-0.2064,-0.6957,-0.104,0.05
425,0,2,0,2,0.1815,0.6526,0.4348,2.1132,0.45
426,0,0,1,1,0.6564,1.6225,,0.7009,-0.05
427,0,2,1,0,-0.0675,-0.1576,-0.0435,-0.0708,0.05
428,0,3,1,1,0.7094,0.9245,0.3478,0.2162,0.4
429,0,1,0,1,0.0687,-0.0244,0.3913,1.5002,0.2
430,0,1,0,2,0.2327,0.1478,1.2609,2.0566,0.7
431,0,0,1,0,,-0.2064,,,-0.5
