,region,cpname,title,career,education,jobtype,cptype,sales,employees,aversalary,capital,pros
24,광주,(주)한진,(주)한진 물류전문직(초대졸) 신입 채용(물류사업),신입,초대졸이상,정규직,대기업,"2조 4,244억 8,298만원 (2022)","1,510 명 재직중","6,142만원
자세히보기","747억 3,814만원",1000대-한진그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-대기업 in 서울-
25,대구,(주)영원무역,3월 경력/신입 상시채용공고,신입/경력(연차무관),고졸,계약직,대기업,"2조 4,244억 8,298만원 (2022)","1,510 명 재직중",-,"747억 3,814만원",1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
26,대구,한국무역보험공사,한국무역보험공사 2024년 상반기 체험형 청년인턴 채용,신입/경력(연차무관),학력무관,인턴,중견기업,-,756 명 재직중,"6,664만원
자세히보기","1조 7,801억 3,480만원",우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
27,대구,한국산업기술기획평가원,2024년 상반기 신입직원 채용공고,신입/경력(연차무관),학력무관,정규직외,중기업,"2조 9,256억 8,618만원 (2022)",420 명 재직중,"6,669만원
자세히보기","111억 4,880만원",1000대-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-
28,대구,삼성전자판매(주),갤럭시 컨설턴트 채용 (충청/경상권),신입/경력(연차무관),학력무관,계약직,대기업,"3조 4,462억 6,273만원 (2022)","3,897 명 재직중","7,218만원
자세히보기","176억 6,660만원",1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
29,대구,한국로봇산업진흥원,2024년 제1차 한국로봇산업진흥원 신규직원 채용공고 (일반직/무기계약직),신입/경력(연차무관),학력무관,정규직외,중소기업,"1,005억 3,180만원 (2022)",117 명 재직중,"5,575만원
자세히보기","290억 2,416만원",우수기업-성장판 열린 회사-복지의 끝판왕-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
30,울산,한화에너지주식회사,"[한화에너지계열] 24년 대졸신입 통합채용(한화에너지, 한화임팩트, 한화토탈에너지스, 한화파워시스템 등)",신입,대졸이상,정규직,대기업,"8,477억 5,653만원 (2022)",409 명 재직중,"7,177만원
자세히보기","677억 1,334만원",1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
31,울산,우리은행,[부산동부울산] 영업점 파트타이머 인재 Pool 상시 등록,신입/경력(연차무관),학력무관,알바,대기업,"21조 141억 1,300만원 (2023)","13,343 명 재직중","7,469만원
자세히보기","3조 3,813억 9,200만원",KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
32,울산,한국가스안전공사,2024년 한국가스안전공사 정규직 채용 공고,신입/경력(연차무관),학력무관,정규직외,대기업,"1,764억 7,847만원 (2016)","1,265 명 재직중","6,315만원
자세히보기","551억 4,154만원",공기업공공기관-안정적인 장수 회사-구직자 인기기업-지방에 위치한 대기업
33,울산,(주)KCC,[KCC]울산공장 품질관리 담당 정규직 채용,신입,초대졸이상,정규직,대기업,"2조 9,995억 1,659만원 (2023)","3,603 명 재직중",-,"480억 8,466만원",1000대-KCC그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-대기업 in 서울-KOSPI 상장
