,region,education,jobtype,cptype,sales,employees,aversalary,capital,pros
21,광주,0,3,3,135834038,"2,437",4865,531485,1000대-하림그룹-성장판 열린 회사-구직자 인기기업-매출 1조 클럽-지방에 위치한 대기업-거침없이 성장하는 회사-매출 1000대 기업-
22,광주,0,3,3,135834038,"2,437",-,531485,1000대-KOSPI-구직자 인기기업-복지의 끝판왕-매출 1조 클럽-HOT한 인기기업-평균연봉 6천이상-매출 1000대 기업--
23,광주,0,2,3,211411300,"13,343",7469,338139200,KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
24,광주,3,3,3,242448298,"1,510",6142,7473814,1000대-한진그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-대기업 in 서울-
25,대구,1,2,3,242448298,"1,510",-,7473814,1000대-KOSPI-복지의 끝판왕-매출 1조 클럽-보너스로 행복해요♥-집 걱정 안 하기-매출 1000대 기업-장기근속수당제공 기업-KOSPI 상장-빵빵한 구내식당-휴식까지 챙겨줘요!
26,대구,0,1,2,,756,6664,178013480,우수기업-구직자 인기기업-채용에 적극적인 회사-HOT한 인기기업-인크루트 인증 우수기업-공기업 in 서울
27,대구,0,3,1,292568618,420,6669,1114880,1000대-성장판 열린 회사-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-매출 1000대 기업-
28,대구,0,2,3,344626273,"3,897",7218,1766660,1000대-삼성그룹-구직자 인기기업-채용에 적극적인 회사-매출 1조 클럽-평균연봉 6천이상-보너스로 행복해요♥-매출 1000대 기업-
29,대구,0,3,1,10053180,117,5575,2902416,우수기업-성장판 열린 회사-복지의 끝판왕-자기계발비 지원 기업-보너스로 행복해요♥-내 출퇴근은 내 맘대로-인크루트 인증 우수기업-장기근속수당제공 기업-육아휴직 제공 기업-빵빵한 구내식당-휴식까지 챙겨줘요!
30,울산,4,3,3,84775653,409,7177,6771334,1000대-한화그룹-성장판 열린 회사-구직자 인기기업-평균연봉 6천이상-지방에 위치한 대기업-매출 1000대 기업
31,울산,0,0,3,211411300,"13,343",7469,338139200,KOSPI-우수기업-구직자 인기기업-채용에 적극적인 회사-복지의 끝판왕-HOT한 인기기업-평균연봉 6천이상-신입연봉이 4천이상-집 걱정 안 하기-인크루트 인증 우수기업-대기업 in 서울-KOSPI 상장
32,울산,0,3,3,17647847,"1,265",6315,5514154,공기업공공기관-안정적인 장수 회사-구직자 인기기업-지방에 위치한 대기업
33,울산,3,3,3,299951659,"3,603",-,4808466,1000대-KCC그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-대기업 in 서울-KOSPI 상장
34,울산,4,3,3,299951659,"3,603",-,4808466,1000대-KCC그룹-안정적인 장수 회사-구직자 인기기업-매출 1조 클럽-매출 1000대 기업-대기업 in 서울-KOSPI 상장
